SOURCE,TARGET,SOURCEROWS,ANNUM
ARIA,PATIENT,99093,02/27/2016
ARIA,ENCOUNTER,7575,02/14/2016
ARIA,DIAGNOSIS AND PROCEDURES,278894,02/18/2016
ARIA,ENCOUNTER,7628,02/27/2016
ARIA,CROSSREFERENCE,148285,02/12/2016
ARIA,ENCOUNTER,7551,02/09/2016
ARIA,ENCOUNTER,7578,02/16/2016
ARIA,DIAGNOSIS AND PROCEDURES,279358,02/28/2016
ARIA,PATIENT,99103,02/28/2016
ARIA,ENCOUNTER,7606,02/22/2016
ARIA,PATIENT,98251,02/04/2016
ARIA,DIAGNOSIS AND PROCEDURES,278678,02/13/2016
ARIA,DIAGNOSIS AND PROCEDURES,278680,02/15/2016
ARIA,DIAGNOSIS AND PROCEDURES,278766,02/16/2016
ARIA,ENCOUNTER,7602,02/19/2016
ARIA,ENCOUNTER,7609,02/23/2016
ARIA,DIAGNOSIS AND PROCEDURES,279095,02/23/2016
ARIA,ENCOUNTER,7573,02/12/2016
ARIA,ENCOUNTER,7511,02/01/2016
ARIA,PATIENT,98992,02/25/2016
ARIA,ENCOUNTER,7628,02/28/2016
ARIA,CROSSREFERENCE,147699,02/04/2016
ARIA,ENCOUNTER,7544,02/07/2016
ARIA,CROSSREFERENCE,149324,02/28/2016
ARIA,DIAGNOSIS AND PROCEDURES,279009,02/20/2016
ARIA,DIAGNOSIS AND PROCEDURES,278278,02/08/2016
ARIA,ENCOUNTER,7617,02/25/2016
ARIA,PATIENT,98876,02/23/2016
ARIA,CROSSREFERENCE,147968,02/09/2016
ARIA,CROSSREFERENCE,148327,02/13/2016
ARIA,ENCOUNTER,7559,02/10/2016
ARIA,CROSSREFERENCE,147347,02/01/2016
ARIA,CROSSREFERENCE,148413,02/16/2016
ARIA,DIAGNOSIS AND PROCEDURES,279150,02/24/2016
ARIA,ENCOUNTER,7621,02/26/2016
ARIA,DIAGNOSIS AND PROCEDURES,278151,02/04/2016
ARIA,CROSSREFERENCE,148819,02/20/2016
ARIA,CROSSREFERENCE,149262,02/26/2016
ARIA,PATIENT,98746,02/18/2016
ARIA,DIAGNOSIS AND PROCEDURES,277878,02/01/2016
ARIA,ENCOUNTER,7569,02/11/2016
ARIA,ENCOUNTER,7537,02/05/2016
ARIA,DIAGNOSIS AND PROCEDURES,278622,02/12/2016
ARIA,ENCOUNTER,7584,02/17/2016
ARIA,DIAGNOSIS AND PROCEDURES,278679,02/14/2016
ARIA,DIAGNOSIS AND PROCEDURES,279218,02/25/2016
ARIA,CROSSREFERENCE,148074,02/10/2016
ARIA,PATIENT,98552,02/12/2016
ARIA,DIAGNOSIS AND PROCEDURES,278528,02/11/2016
ARIA,ENCOUNTER,7544,02/08/2016
ARIA,PATIENT,98091,02/01/2016
ARIA,ENCOUNTER,7518,02/02/2016
