SOURCE,TARGET,SOURCEROWS,ANNUM
CERNER,ENCOUNTER,13561555,02/14/2016
CERNER,ORDER,585598542,02/01/2016
CERNER,ENCOUNTER,13485669,02/02/2016
CERNER,ENCOUNTER,13570126,02/16/2016
CERNER,ORDER,589515196,02/22/2016
CERNER,ENCOUNTER,13600915,02/20/2016
CERNER,PATIENT,7574498,02/16/2016
CERNER,ORDER,588217994,02/15/2016
CERNER,ORDER,588887077,02/18/2016
CERNER,ENCOUNTER,13642357,02/27/2016
CERNER,PATIENT,7571785,02/14/2016
CERNER,PATIENT,7563655,02/10/2016
CERNER,ENCOUNTER,13585747,02/18/2016
CERNER,ENCOUNTER,13643992,02/28/2016
CERNER,ENCOUNTER,13502331,02/04/2016
CERNER,ENCOUNTER,13518206,02/06/2016
CERNER,ORDER,587811084,02/12/2016
CERNER,ORDER,588024254,02/13/2016
CERNER,ORDER,590423229,02/26/2016
CERNER,ENCOUNTER,13529026,02/09/2016
CERNER,ENCOUNTER,13553193,02/12/2016
CERNER,PATIENT,7599304,02/29/2016
CERNER,ENCOUNTER,13562445,02/15/2016
CERNER,ORDER,586267172,02/04/2016
CERNER,ORDER,590651576,02/27/2016
CERNER,ORDER,588659216,02/17/2016
CERNER,ENCOUNTER,13544918,02/11/2016
CERNER,ENCOUNTER,13510454,02/05/2016
CERNER,PATIENT,7572224,02/15/2016
CERNER,ENCOUNTER,13611391,02/23/2016
CERNER,ORDER,587123840,02/09/2016
CERNER,PATIENT,7545246,02/01/2016
CERNER,ORDER,586495982,02/05/2016
CERNER,PATIENT,7555140,02/05/2016
CERNER,PATIENT,7558195,02/07/2016
CERNER,ORDER,590776888,02/28/2016
CERNER,PATIENT,7579234,02/18/2016
CERNER,PATIENT,7547513,02/02/2016
CERNER,PATIENT,7561049,02/09/2016
CERNER,ORDER,589969336,02/24/2016
CERNER,PATIENT,7581637,02/19/2016
CERNER,ENCOUNTER,13619682,02/24/2016
CERNER,ORDER,589714527,02/23/2016
CERNER,PATIENT,7571152,02/13/2016
CERNER,PATIENT,7552695,02/04/2016
CERNER,PATIENT,7558744,02/08/2016
CERNER,ENCOUNTER,13494213,02/03/2016
CERNER,PATIENT,7593184,02/25/2016
CERNER,PATIENT,7550030,02/03/2016
CERNER,PATIENT,7598760,02/28/2016
CERNER,ORDER,586826833,02/07/2016
CERNER,ORDER,588424321,02/16/2016
CERNER,ENCOUNTER,13635108,02/26/2016
CERNER,PATIENT,7595731,02/26/2016
CERNER,ORDER,587357229,02/10/2016
CERNER,PATIENT,7568780,02/12/2016
CERNER,ENCOUNTER,13520943,02/08/2016
CERNER,ORDER,586907943,02/08/2016
CERNER,ORDER,589318792,02/20/2016
CERNER,ENCOUNTER,13603512,02/22/2016
CERNER,PATIENT,7587775,02/23/2016
CERNER,PATIENT,7585457,02/22/2016
CERNER,ENCOUNTER,13577801,02/17/2016
CERNER,PATIENT,7590506,02/24/2016
CERNER,ORDER,590858980,02/29/2016
CERNER,ENCOUNTER,13560159,02/13/2016
CERNER,ENCOUNTER,13627604,02/25/2016
CERNER,ORDER,588136118,02/14/2016
CERNER,ORDER,590200631,02/25/2016
CERNER,ENCOUNTER,13645015,02/29/2016
CERNER,PATIENT,7598057,02/27/2016
CERNER,ENCOUNTER,13537005,02/10/2016
CERNER,ENCOUNTER,13593480,02/19/2016
CERNER,PATIENT,7557502,02/06/2016
CERNER,PATIENT,7576969,02/17/2016
CERNER,ENCOUNTER,13477184,02/01/2016
CERNER,ORDER,586714212,02/06/2016
CERNER,ENCOUNTER,13519838,02/07/2016
CERNER,PATIENT,7584187,02/20/2016
CERNER,ORDER,585808891,02/02/2016
CERNER,ORDER,586042690,02/03/2016
