SOURCE,TARGET,SOURCEROWS,ANNUM
CLINTRAC,DIAGNOSIS AND PROCEDURES,8086996,02/16/2016
CLINTRAC,ENCOUNTER,987169,02/09/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8100927,02/25/2016
CLINTRAC,ENCOUNTER,991923,02/26/2016
CLINTRAC,ENCOUNTER,986847,02/08/2016
CLINTRAC,PATIENT,910252,02/29/2016
CLINTRAC,PATIENT,905482,02/02/2016
CLINTRAC,PATIENT,909380,02/24/2016
CLINTRAC,PATIENT,908940,02/22/2016
CLINTRAC,ENCOUNTER,992541,02/29/2016
CLINTRAC,PATIENT,910064,02/27/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8098953,02/24/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8074707,02/05/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8081864,02/11/2016
CLINTRAC,ENCOUNTER,985363,02/02/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8071579,02/03/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8073115,02/04/2016
CLINTRAC,PATIENT,906346,02/07/2016
CLINTRAC,PATIENT,905720,02/03/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8076277,02/07/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8103487,02/28/2016
CLINTRAC,ENCOUNTER,991202,02/24/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8084826,02/13/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8085551,02/15/2016
CLINTRAC,ENCOUNTER,989342,02/17/2016
CLINTRAC,PATIENT,907736,02/15/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8088731,02/17/2016
CLINTRAC,ENCOUNTER,989667,02/18/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8094753,02/20/2016
CLINTRAC,ENCOUNTER,986598,02/06/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8078428,02/09/2016
CLINTRAC,PATIENT,909138,02/23/2016
CLINTRAC,PATIENT,909842,02/26/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8075911,02/06/2016
CLINTRAC,ENCOUNTER,989955,02/19/2016
CLINTRAC,ENCOUNTER,990833,02/23/2016
CLINTRAC,ENCOUNTER,992292,02/27/2016
CLINTRAC,PATIENT,906248,02/06/2016
CLINTRAC,ENCOUNTER,988081,02/12/2016
CLINTRAC,ENCOUNTER,985734,02/03/2016
CLINTRAC,PATIENT,908372,02/18/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8083353,02/12/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8080089,02/10/2016
CLINTRAC,PATIENT,906408,02/08/2016
CLINTRAC,PATIENT,907316,02/12/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8097018,02/23/2016
CLINTRAC,PATIENT,908176,02/17/2016
CLINTRAC,ENCOUNTER,985045,02/01/2016
CLINTRAC,PATIENT,908770,02/20/2016
CLINTRAC,PATIENT,908554,02/19/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8068331,02/01/2016
CLINTRAC,ENCOUNTER,990256,02/20/2016
CLINTRAC,PATIENT,905890,02/04/2016
CLINTRAC,ENCOUNTER,987793,02/11/2016
CLINTRAC,ENCOUNTER,988547,02/14/2016
CLINTRAC,ENCOUNTER,986270,02/05/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8103251,02/27/2016
CLINTRAC,PATIENT,907676,02/14/2016
CLINTRAC,PATIENT,906898,02/10/2016
CLINTRAC,ENCOUNTER,986012,02/04/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8103819,02/29/2016
CLINTRAC,ENCOUNTER,988418,02/13/2016
CLINTRAC,PATIENT,907580,02/13/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8102175,02/26/2016
CLINTRAC,ENCOUNTER,987498,02/10/2016
CLINTRAC,PATIENT,905276,02/01/2016
CLINTRAC,ENCOUNTER,988983,02/16/2016
CLINTRAC,ENCOUNTER,988637,02/15/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8095362,02/22/2016
CLINTRAC,PATIENT,909612,02/25/2016
CLINTRAC,ENCOUNTER,986737,02/07/2016
CLINTRAC,PATIENT,906656,02/09/2016
CLINTRAC,PATIENT,907930,02/16/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8091019,02/18/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8085158,02/14/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8069916,02/02/2016
CLINTRAC,PATIENT,906066,02/05/2016
CLINTRAC,ENCOUNTER,992425,02/28/2016
CLINTRAC,DIAGNOSIS AND PROCEDURES,8076910,02/08/2016
CLINTRAC,PATIENT,910164,02/28/2016
CLINTRAC,ENCOUNTER,990536,02/22/2016
CLINTRAC,ENCOUNTER,991594,02/25/2016
