SOURCE,TARGET,SOURCEROWS,ANNUM
CV,ENCOUNTER,59037,02/26/2016
CV,ENCOUNTER,59037,02/19/2016
CV,ENCOUNTER,59037,02/09/2016
CV,PATIENT,43408,02/08/2016
CV,PATIENT,43408,02/03/2016
CV,ENCOUNTER,59037,02/04/2016
CV,ENCOUNTER,59037,02/24/2016
CV,PATIENT,43408,02/13/2016
CV,PATIENT,43408,02/27/2016
CV,PATIENT,43408,02/17/2016
CV,PATIENT,43408,02/02/2016
CV,PATIENT,43408,02/24/2016
CV,PATIENT,43408,02/19/2016
CV,PATIENT,43408,02/23/2016
CV,PATIENT,43408,02/22/2016
CV,ENCOUNTER,59037,02/17/2016
CV,ENCOUNTER,59037,02/14/2016
CV,PATIENT,43408,02/15/2016
CV,PATIENT,43408,02/12/2016
CV,PATIENT,43408,02/29/2016
CV,PATIENT,43408,02/28/2016
CV,ENCOUNTER,59037,02/25/2016
CV,ENCOUNTER,59037,02/20/2016
CV,ENCOUNTER,59037,02/29/2016
CV,ENCOUNTER,59037,02/12/2016
CV,PATIENT,43408,02/05/2016
CV,PATIENT,43408,02/07/2016
CV,ENCOUNTER,59037,02/15/2016
CV,ENCOUNTER,59037,02/03/2016
CV,ENCOUNTER,59037,02/18/2016
CV,PATIENT,43408,02/25/2016
CV,ENCOUNTER,59037,02/07/2016
CV,PATIENT,43408,02/04/2016
CV,ENCOUNTER,59037,02/05/2016
CV,PATIENT,43408,02/06/2016
CV,PATIENT,43408,02/18/2016
CV,ENCOUNTER,59037,02/13/2016
CV,ENCOUNTER,59037,02/22/2016
CV,ENCOUNTER,59037,02/08/2016
CV,ENCOUNTER,59037,02/02/2016
CV,ENCOUNTER,59037,02/01/2016
CV,ENCOUNTER,59037,02/28/2016
CV,PATIENT,43408,02/20/2016
CV,ENCOUNTER,59037,02/10/2016
CV,PATIENT,43408,02/16/2016
CV,ENCOUNTER,59037,02/23/2016
CV,ENCOUNTER,59037,02/27/2016
CV,ENCOUNTER,59037,02/16/2016
CV,PATIENT,43408,02/14/2016
CV,PATIENT,43408,02/10/2016
CV,ENCOUNTER,59037,02/06/2016
CV,PATIENT,43408,02/26/2016
CV,ENCOUNTER,59037,02/11/2016
CV,PATIENT,43408,02/01/2016
CV,PATIENT,43408,02/09/2016
