SOURCE,TARGET,SOURCEROWS,ANNUM
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/26/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/17/2016
DMEE,ENCOUNTER,80039570,02/23/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/14/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/11/2016
DMEE,PATIENT,24068148,02/01/2016
DMEE,ENCOUNTER,80176056,02/28/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/28/2016
DMEE,ENCOUNTER,79645203,02/06/2016
DMEE,ENCOUNTER,80140565,02/26/2016
DMEE,ENCOUNTER,79964334,02/19/2016
DMEE,ORDER,503349175,02/26/2016
DMEE,PATIENT,24145057,02/12/2016
DMEE,ORDER,503348116,02/01/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/04/2016
DMEE,PATIENT,24101685,02/05/2016
DMEE,ENCOUNTER,79829207,02/15/2016
DMEE,ORDER,503348404,02/06/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/09/2016
DMEE,ORDER,503348631,02/12/2016
DMEE,ORDER,503348673,02/13/2016
DMEE,ENCOUNTER,80108255,02/25/2016
DMEE,PATIENT,24196463,02/22/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/13/2016
DMEE,PATIENT,24162628,02/16/2016
DMEE,ORDER,503348838,02/18/2016
DMEE,PATIENT,24129089,02/10/2016
DMEE,ENCOUNTER,79931081,02/18/2016
DMEE,PATIENT,24077123,02/02/2016
DMEE,PATIENT,24221008,02/25/2016
DMEE,PATIENT,24085247,02/03/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/07/2016
DMEE,ORDER,503348411,02/07/2016
DMEE,ORDER,503349016,02/23/2016
DMEE,ORDER,503348683,02/14/2016
DMEE,ORDER,503348736,02/16/2016
DMEE,PATIENT,24236036,02/27/2016
DMEE,ENCOUNTER,79826045,02/14/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/15/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/16/2016
DMEE,PATIENT,24154810,02/15/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/25/2016
DMEE,ORDER,503348528,02/10/2016
DMEE,ENCOUNTER,79509264,02/02/2016
DMEE,ENCOUNTER,79471919,02/01/2016
DMEE,ORDER,503349220,02/27/2016
DMEE,PATIENT,24212867,02/24/2016
DMEE,ENCOUNTER,79649707,02/07/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/20/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/08/2016
DMEE,ORDER,503348419,02/08/2016
DMEE,ORDER,503348958,02/22/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/29/2016
DMEE,ENCOUNTER,79821793,02/13/2016
DMEE,PATIENT,24152760,02/13/2016
DMEE,ORDER,503349131,02/25/2016
DMEE,ENCOUNTER,80179370,02/29/2016
DMEE,ENCOUNTER,79897758,02/17/2016
DMEE,PATIENT,24093854,02/04/2016
DMEE,ENCOUNTER,79759411,02/11/2016
DMEE,ENCOUNTER,79614426,02/05/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/24/2016
DMEE,ORDER,503348688,02/15/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/03/2016
DMEE,PATIENT,24109400,02/06/2016
DMEE,ORDER,503349236,02/28/2016
DMEE,ENCOUNTER,79546612,02/03/2016
DMEE,ENCOUNTER,79581683,02/04/2016
DMEE,ENCOUNTER,80002756,02/22/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/01/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/18/2016
DMEE,ENCOUNTER,79691139,02/09/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/05/2016
DMEE,PATIENT,24112241,02/08/2016
DMEE,ENCOUNTER,79653241,02/08/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/23/2016
DMEE,PATIENT,24111299,02/07/2016
DMEE,PATIENT,24121078,02/09/2016
DMEE,ORDER,503349078,02/24/2016
DMEE,PATIENT,24194066,02/20/2016
DMEE,PATIENT,24186684,02/19/2016
DMEE,ORDER,503348781,02/17/2016
DMEE,ORDER,503349243,02/29/2016
DMEE,PATIENT,24205140,02/23/2016
DMEE,ENCOUNTER,79995220,02/20/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/02/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/10/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/27/2016
DMEE,ENCOUNTER,79862931,02/16/2016
DMEE,ORDER,503348331,02/05/2016
DMEE,PATIENT,24170878,02/17/2016
DMEE,ORDER,503348224,02/03/2016
DMEE,ORDER,503348931,02/20/2016
DMEE,PATIENT,24228451,02/26/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/06/2016
DMEE,ENCOUNTER,79725378,02/10/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/12/2016
DMEE,ENCOUNTER,80171409,02/27/2016
DMEE,ORDER,503348480,02/09/2016
DMEE,PATIENT,24153968,02/14/2016
DMEE,ENCOUNTER,79792267,02/12/2016
DMEE,PATIENT,24238359,02/29/2016
DMEE,ORDER,503348275,02/04/2016
DMEE,PATIENT,24178783,02/18/2016
DMEE,DIAGNOSIS AND PROCEDURES,21878533,02/22/2016
DMEE,PATIENT,24237327,02/28/2016
DMEE,ENCOUNTER,80074809,02/24/2016
DMEE,ORDER,503348157,02/02/2016
