SOURCE,TARGET,SOURCEROWS,ANNUM
DOCUSYS,ENCOUNTER,832915055,02/11/2016
DOCUSYS,ENCOUNTER,832915055,02/14/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/16/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/03/2016
DOCUSYS,PATIENT,500713,02/06/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/28/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/06/2016
DOCUSYS,ENCOUNTER,832915055,02/17/2016
DOCUSYS,ENCOUNTER,832915055,02/26/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/10/2016
DOCUSYS,ENCOUNTER,832915055,02/16/2016
DOCUSYS,ENCOUNTER,832915055,02/01/2016
DOCUSYS,PATIENT,500713,02/09/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/08/2016
DOCUSYS,PATIENT,500713,02/13/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/15/2016
DOCUSYS,PATIENT,500713,02/16/2016
DOCUSYS,PATIENT,500713,02/15/2016
DOCUSYS,ENCOUNTER,832915055,02/19/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/17/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/27/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/11/2016
DOCUSYS,PATIENT,500713,02/05/2016
DOCUSYS,PATIENT,500713,02/17/2016
DOCUSYS,ENCOUNTER,832915055,02/03/2016
DOCUSYS,ENCOUNTER,832915055,02/18/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/22/2016
DOCUSYS,PATIENT,500713,02/25/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/07/2016
DOCUSYS,PATIENT,500713,02/28/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/29/2016
DOCUSYS,PATIENT,500713,02/22/2016
DOCUSYS,PATIENT,500713,02/26/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/18/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/24/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/23/2016
DOCUSYS,ENCOUNTER,832915055,02/02/2016
DOCUSYS,PATIENT,500713,02/14/2016
DOCUSYS,PATIENT,500713,02/07/2016
DOCUSYS,ENCOUNTER,832915055,02/06/2016
DOCUSYS,ENCOUNTER,832915055,02/22/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/01/2016
DOCUSYS,ENCOUNTER,832915055,02/29/2016
DOCUSYS,PATIENT,500713,02/27/2016
DOCUSYS,ENCOUNTER,832915055,02/10/2016
DOCUSYS,ENCOUNTER,832915055,02/23/2016
DOCUSYS,ENCOUNTER,832915055,02/09/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/25/2016
DOCUSYS,PATIENT,500713,02/01/2016
DOCUSYS,ENCOUNTER,832915055,02/15/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/26/2016
DOCUSYS,PATIENT,500713,02/04/2016
DOCUSYS,ENCOUNTER,832915055,02/08/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/04/2016
DOCUSYS,PATIENT,500713,02/10/2016
DOCUSYS,ENCOUNTER,832915055,02/04/2016
DOCUSYS,PATIENT,500713,02/19/2016
DOCUSYS,ENCOUNTER,832915055,02/25/2016
DOCUSYS,PATIENT,500713,02/23/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/12/2016
DOCUSYS,ENCOUNTER,832915055,02/05/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/14/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/02/2016
DOCUSYS,ENCOUNTER,832915055,02/27/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/05/2016
DOCUSYS,ENCOUNTER,832915055,02/12/2016
DOCUSYS,PATIENT,500713,02/18/2016
DOCUSYS,PATIENT,500713,02/02/2016
DOCUSYS,ENCOUNTER,832915055,02/28/2016
DOCUSYS,PATIENT,500713,02/03/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/20/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/09/2016
DOCUSYS,ENCOUNTER,832915055,02/13/2016
DOCUSYS,ENCOUNTER,832915055,02/20/2016
DOCUSYS,DIAGNOSIS AND PROCEDURES,346353,02/13/2016
DOCUSYS,PATIENT,500713,02/08/2016
DOCUSYS,PATIENT,500713,02/12/2016
DOCUSYS,PATIENT,500713,02/29/2016
DOCUSYS,PATIENT,500713,02/24/2016
DOCUSYS,ENCOUNTER,832915055,02/07/2016
DOCUSYS,PATIENT,500713,02/20/2016
DOCUSYS,ENCOUNTER,832915055,02/24/2016
