SOURCE,TARGET,SOURCEROWS,ANNUM
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/01/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/06/2016
EMTRAC,ORDER,20062782,02/26/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/25/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/02/2016
EMTRAC,ORDER,20062782,02/18/2016
EMTRAC,ENCOUNTER,34674145,02/27/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/05/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/03/2016
EMTRAC,PATIENT,2014764,02/14/2016
EMTRAC,PATIENT,2014764,02/02/2016
EMTRAC,ORDER,20062782,02/27/2016
EMTRAC,ORDER,20062782,02/06/2016
EMTRAC,ORDER,20062782,02/02/2016
EMTRAC,PATIENT,2014764,02/22/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/12/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/15/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/16/2016
EMTRAC,ENCOUNTER,34674141,02/09/2016
EMTRAC,PATIENT,2014764,02/08/2016
EMTRAC,ENCOUNTER,34674141,02/03/2016
EMTRAC,PATIENT,2014764,02/03/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/09/2016
EMTRAC,ENCOUNTER,34674145,02/25/2016
EMTRAC,ORDER,20062782,02/16/2016
EMTRAC,ENCOUNTER,34674141,02/05/2016
EMTRAC,ENCOUNTER,34674141,02/02/2016
EMTRAC,ORDER,20062782,02/04/2016
EMTRAC,ENCOUNTER,34674141,02/01/2016
EMTRAC,PATIENT,2014764,02/25/2016
EMTRAC,ENCOUNTER,34674145,02/28/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/07/2016
EMTRAC,ORDER,20062782,02/24/2016
EMTRAC,ENCOUNTER,34674145,02/24/2016
EMTRAC,ORDER,20062782,02/29/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/29/2016
EMTRAC,ENCOUNTER,34674145,02/20/2016
EMTRAC,PATIENT,2014764,02/27/2016
EMTRAC,PATIENT,2014764,02/04/2016
EMTRAC,ENCOUNTER,34674141,02/10/2016
EMTRAC,ENCOUNTER,34674145,02/17/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/17/2016
EMTRAC,ORDER,20062782,02/10/2016
EMTRAC,PATIENT,2014764,02/12/2016
EMTRAC,PATIENT,2014764,02/29/2016
EMTRAC,PATIENT,2014764,02/17/2016
EMTRAC,ENCOUNTER,34674145,02/18/2016
EMTRAC,ENCOUNTER,34674141,02/07/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/08/2016
EMTRAC,PATIENT,2014764,02/19/2016
EMTRAC,ORDER,20062782,02/13/2016
EMTRAC,ORDER,20062782,02/25/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/24/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/14/2016
EMTRAC,ORDER,20062782,02/15/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/27/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/04/2016
EMTRAC,PATIENT,2014764,02/06/2016
EMTRAC,PATIENT,2014764,02/05/2016
EMTRAC,ORDER,20062782,02/28/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/22/2016
EMTRAC,ENCOUNTER,34674141,02/04/2016
EMTRAC,ORDER,20062782,02/08/2016
EMTRAC,ORDER,20062782,02/22/2016
EMTRAC,ORDER,20062782,02/12/2016
EMTRAC,PATIENT,2014764,02/26/2016
EMTRAC,ENCOUNTER,34674141,02/11/2016
EMTRAC,PATIENT,2014764,02/15/2016
EMTRAC,ENCOUNTER,34674145,02/26/2016
EMTRAC,ENCOUNTER,34674145,02/12/2016
EMTRAC,PATIENT,2014764,02/18/2016
EMTRAC,PATIENT,2014764,02/09/2016
EMTRAC,PATIENT,2014764,02/28/2016
EMTRAC,ORDER,20062782,02/07/2016
EMTRAC,ORDER,20062782,02/17/2016
EMTRAC,ENCOUNTER,34674145,02/13/2016
EMTRAC,ORDER,20062782,02/20/2016
EMTRAC,PATIENT,2014764,02/13/2016
EMTRAC,ENCOUNTER,34674145,02/22/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/26/2016
EMTRAC,PATIENT,2014764,02/23/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/18/2016
EMTRAC,ENCOUNTER,34674145,02/23/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/10/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/23/2016
EMTRAC,PATIENT,2014764,02/01/2016
EMTRAC,ORDER,20062782,02/05/2016
EMTRAC,ENCOUNTER,34674145,02/15/2016
EMTRAC,PATIENT,2014764,02/10/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/28/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/20/2016
EMTRAC,PATIENT,2014764,02/20/2016
EMTRAC,ORDER,20062782,02/23/2016
EMTRAC,ORDER,20062782,02/03/2016
EMTRAC,ORDER,20062782,02/14/2016
EMTRAC,ENCOUNTER,34674145,02/29/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/13/2016
EMTRAC,ENCOUNTER,34674145,02/14/2016
EMTRAC,PATIENT,2014764,02/16/2016
EMTRAC,ENCOUNTER,34674145,02/19/2016
EMTRAC,ORDER,20062782,02/01/2016
EMTRAC,ORDER,20062782,02/09/2016
EMTRAC,DIAGNOSIS AND PROCEDURES,5439516,02/11/2016
EMTRAC,ENCOUNTER,34674141,02/08/2016
EMTRAC,ENCOUNTER,34674145,02/16/2016
EMTRAC,PATIENT,2014764,02/07/2016
EMTRAC,PATIENT,2014764,02/24/2016
EMTRAC,ENCOUNTER,34674141,02/06/2016
