SOURCE,TARGET,SOURCEROWS,ANNUM
EPIC,DIAGNOSIS AND PROCEDURES,160351773,02/06/2016
EPIC,PATIENT,59185841,02/27/2016
EPIC,ORDER,512599462,02/10/2016
EPIC,ORDER,514197841,02/15/2016
EPIC,DOCUMENTATION,149961424,02/23/2016
EPIC,ENCOUNTER,281878177,02/16/2016
EPIC,DOCUMENTATION,149159834,02/17/2016
EPIC,DOCUMENTATION,147630630,02/05/2016
EPIC,ENCOUNTER,280277418,02/03/2016
EPIC,DOCUMENTATION,149546091,02/19/2016
EPIC,DOCUMENTATION,147445480,02/04/2016
EPIC,DOCUMENTATION,150892907,02/28/2016
EPIC,ORDER,516596128,02/22/2016
EPIC,PATIENT,59077079,02/20/2016
EPIC,DOCUMENTATION,147970940,02/08/2016
EPIC,DIAGNOSIS AND PROCEDURES,162650530,02/29/2016
EPIC,ORDER,516051224,02/20/2016
EPIC,ORDER,514197841,02/14/2016
EPIC,DOCUMENTATION,148026310,02/09/2016
EPIC,ENCOUNTER,282394907,02/20/2016
EPIC,ENCOUNTER,282961442,02/26/2016
EPIC,DOCUMENTATION,148771968,02/13/2016
EPIC,ENCOUNTER,281174172,02/11/2016
EPIC,ENCOUNTER,280545985,02/05/2016
EPIC,ORDER,517920976,02/26/2016
EPIC,DOCUMENTATION,149354733,02/18/2016
EPIC,DIAGNOSIS AND PROCEDURES,159811563,02/02/2016
EPIC,ENCOUNTER,283014183,02/27/2016
EPIC,PATIENT,59192474,02/29/2016
EPIC,PATIENT,58851152,02/05/2016
EPIC,ENCOUNTER,283212801,02/28/2016
EPIC,DIAGNOSIS AND PROCEDURES,162640977,02/28/2016
EPIC,DIAGNOSIS AND PROCEDURES,160489880,02/08/2016
EPIC,ORDER,511919995,02/07/2016
EPIC,ORDER,510320451,02/03/2016
EPIC,ENCOUNTER,283212911,02/29/2016
EPIC,ENCOUNTER,280978099,02/10/2016
EPIC,PATIENT,58981206,02/15/2016
EPIC,DIAGNOSIS AND PROCEDURES,161489668,02/18/2016
EPIC,DIAGNOSIS AND PROCEDURES,162085571,02/24/2016
EPIC,DIAGNOSIS AND PROCEDURES,161354800,02/17/2016
EPIC,DIAGNOSIS AND PROCEDURES,162504364,02/27/2016
EPIC,DIAGNOSIS AND PROCEDURES,160218419,02/05/2016
EPIC,PATIENT,58877385,02/08/2016
EPIC,DOCUMENTATION,148230845,02/10/2016
EPIC,ENCOUNTER,280099515,02/01/2016
EPIC,PATIENT,58811286,02/03/2016
EPIC,PATIENT,59125001,02/24/2016
EPIC,ENCOUNTER,280414454,02/04/2016
EPIC,ORDER,509894626,02/02/2016
EPIC,DOCUMENTATION,148988046,02/16/2016
EPIC,DOCUMENTATION,150161524,02/24/2016
EPIC,DIAGNOSIS AND PROCEDURES,159762493,02/01/2016
EPIC,PATIENT,59086227,02/22/2016
EPIC,PATIENT,59167372,02/26/2016
EPIC,DIAGNOSIS AND PROCEDURES,161233330,02/16/2016
EPIC,DIAGNOSIS AND PROCEDURES,162230038,02/25/2016
EPIC,DOCUMENTATION,150553574,02/26/2016
EPIC,DIAGNOSIS AND PROCEDURES,161941672,02/23/2016
EPIC,DOCUMENTATION,147258042,02/03/2016
EPIC,PATIENT,58868678,02/06/2016
EPIC,ENCOUNTER,281361002,02/12/2016
EPIC,ORDER,518705046,02/28/2016
EPIC,ENCOUNTER,282135150,02/18/2016
EPIC,DIAGNOSIS AND PROCEDURES,160471508,02/07/2016
EPIC,ENCOUNTER,280795541,02/07/2016
EPIC,ORDER,514846466,02/17/2016
EPIC,ORDER,516676840,02/23/2016
EPIC,ORDER,513428072,02/12/2016
EPIC,PATIENT,58831142,02/04/2016
EPIC,DIAGNOSIS AND PROCEDURES,161059459,02/13/2016
EPIC,DOCUMENTATION,148932871,02/14/2016
EPIC,ENCOUNTER,282264541,02/19/2016
EPIC,ENCOUNTER,280834846,02/09/2016
EPIC,PATIENT,58955213,02/12/2016
EPIC,ORDER,512169190,02/09/2016
EPIC,DOCUMENTATION,146995966,02/01/2016
EPIC,PATIENT,58981206,02/14/2016
EPIC,ORDER,511140404,02/05/2016
EPIC,PATIENT,58915000,02/10/2016
EPIC,DIAGNOSIS AND PROCEDURES,161922418,02/22/2016
EPIC,DOCUMENTATION,149736167,02/20/2016
EPIC,ORDER,518327294,02/27/2016
EPIC,ORDER,511549436,02/06/2016
EPIC,PATIENT,58894409,02/09/2016
EPIC,DOCUMENTATION,148584663,02/12/2016
EPIC,DIAGNOSIS AND PROCEDURES,162375208,02/26/2016
EPIC,PATIENT,59102743,02/23/2016
EPIC,ORDER,517522993,02/25/2016
EPIC,ENCOUNTER,281803461,02/14/2016
EPIC,DIAGNOSIS AND PROCEDURES,160924466,02/12/2016
EPIC,ORDER,515247100,02/18/2016
EPIC,PATIENT,58771697,02/01/2016
EPIC,ENCOUNTER,281803543,02/15/2016
EPIC,ORDER,510741187,02/04/2016
EPIC,DOCUMENTATION,149933803,02/22/2016
EPIC,DOCUMENTATION,148932871,02/15/2016
EPIC,DOCUMENTATION,147810853,02/06/2016
EPIC,PATIENT,59192474,02/28/2016
EPIC,ORDER,513823589,02/13/2016
EPIC,ORDER,514441199,02/16/2016
EPIC,DOCUMENTATION,150892907,02/29/2016
EPIC,PATIENT,58998225,02/16/2016
EPIC,DOCUMENTATION,148412845,02/11/2016
EPIC,ENCOUNTER,282549560,02/23/2016
EPIC,DIAGNOSIS AND PROCEDURES,161180707,02/14/2016
EPIC,DIAGNOSIS AND PROCEDURES,160662091,02/10/2016
EPIC,ORDER,509657901,02/01/2016
EPIC,DIAGNOSIS AND PROCEDURES,160794162,02/11/2016
EPIC,ENCOUNTER,280795626,02/08/2016
EPIC,DIAGNOSIS AND PROCEDURES,159947039,02/03/2016
EPIC,DIAGNOSIS AND PROCEDURES,160085077,02/04/2016
EPIC,DOCUMENTATION,147052309,02/02/2016
EPIC,PATIENT,58874879,02/07/2016
EPIC,PATIENT,59018676,02/17/2016
EPIC,PATIENT,58789679,02/02/2016
EPIC,PATIENT,59147063,02/25/2016
EPIC,DIAGNOSIS AND PROCEDURES,161757397,02/20/2016
EPIC,ORDER,517100156,02/24/2016
EPIC,ENCOUNTER,282693204,02/24/2016
EPIC,ENCOUNTER,281573013,02/13/2016
EPIC,PATIENT,58973667,02/13/2016
EPIC,ENCOUNTER,282535289,02/22/2016
EPIC,ENCOUNTER,282001626,02/17/2016
EPIC,DIAGNOSIS AND PROCEDURES,161190978,02/15/2016
EPIC,ENCOUNTER,280133986,02/02/2016
EPIC,DOCUMENTATION,150360020,02/25/2016
EPIC,PATIENT,59039372,02/18/2016
EPIC,DOCUMENTATION,147970940,02/07/2016
EPIC,ENCOUNTER,280674938,02/06/2016
EPIC,ORDER,511919995,02/08/2016
EPIC,PATIENT,59058802,02/19/2016
EPIC,DOCUMENTATION,150705341,02/27/2016
EPIC,ORDER,518705046,02/29/2016
EPIC,DIAGNOSIS AND PROCEDURES,160522274,02/09/2016
EPIC,ENCOUNTER,282829784,02/25/2016
