SOURCE,TARGET,SOURCEROWS,ANNUM
HDMHUP,ENCOUNTER,1454417,02/10/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12016776,02/10/2016
HDMHUP,ENCOUNTER,1453834,02/08/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12002572,02/03/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12005050,02/04/2016
HDMHUP,PATIENT,1262099,02/29/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12042230,02/22/2016
HDMHUP,PATIENT,1261517,02/25/2016
HDMHUP,PATIENT,1257701,02/03/2016
HDMHUP,ENCOUNTER,1457664,02/24/2016
HDMHUP,PATIENT,1260863,02/23/2016
HDMHUP,ENCOUNTER,1456911,02/20/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12023859,02/12/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12027102,02/15/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12027102,02/14/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12051146,02/25/2016
HDMHUP,ENCOUNTER,1452501,02/02/2016
HDMHUP,PATIENT,1260105,02/17/2016
HDMHUP,ENCOUNTER,1456378,02/18/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12011199,02/07/2016
HDMHUP,ENCOUNTER,1453106,02/04/2016
HDMHUP,ENCOUNTER,1455386,02/14/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12033078,02/17/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12056808,02/27/2016
HDMHUP,PATIENT,1259335,02/12/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12045033,02/23/2016
HDMHUP,PATIENT,1258869,02/10/2016
HDMHUP,ENCOUNTER,1452830,02/03/2016
HDMHUP,ENCOUNTER,1453648,02/06/2016
HDMHUP,PATIENT,1260719,02/20/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12057026,02/29/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12014225,02/09/2016
HDMHUP,ENCOUNTER,1457984,02/25/2016
HDMHUP,ENCOUNTER,1458260,02/26/2016
HDMHUP,ENCOUNTER,1458711,02/29/2016
HDMHUP,PATIENT,1261971,02/27/2016
HDMHUP,ENCOUNTER,1454742,02/11/2016
HDMHUP,ENCOUNTER,1456655,02/19/2016
HDMHUP,ENCOUNTER,1454109,02/09/2016
HDMHUP,PATIENT,1258489,02/08/2016
HDMHUP,PATIENT,1257301,02/01/2016
HDMHUP,PATIENT,1260861,02/22/2016
HDMHUP,ENCOUNTER,1456068,02/17/2016
HDMHUP,PATIENT,1257917,02/04/2016
HDMHUP,ENCOUNTER,1453375,02/05/2016
HDMHUP,ENCOUNTER,1458545,02/27/2016
HDMHUP,ENCOUNTER,1455755,02/16/2016
HDMHUP,ENCOUNTER,1455026,02/12/2016
HDMHUP,PATIENT,1258135,02/05/2016
HDMHUP,PATIENT,1258421,02/07/2016
HDMHUP,ENCOUNTER,1458632,02/28/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12041883,02/20/2016
HDMHUP,ENCOUNTER,1455293,02/13/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12011052,02/06/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12026801,02/13/2016
HDMHUP,PATIENT,1259885,02/16/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12000138,02/02/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12008336,02/05/2016
HDMHUP,PATIENT,1258339,02/06/2016
HDMHUP,PATIENT,1260303,02/18/2016
HDMHUP,PATIENT,1257491,02/02/2016
HDMHUP,PATIENT,1262043,02/28/2016
HDMHUP,PATIENT,1260501,02/19/2016
HDMHUP,PATIENT,1259545,02/13/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,11997399,02/01/2016
HDMHUP,PATIENT,1261737,02/26/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12030059,02/16/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12020518,02/11/2016
HDMHUP,PATIENT,1259621,02/14/2016
HDMHUP,ENCOUNTER,1452217,02/01/2016
HDMHUP,PATIENT,1258667,02/09/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12011199,02/08/2016
HDMHUP,ENCOUNTER,1457049,02/22/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12054761,02/26/2016
HDMHUP,PATIENT,1259695,02/15/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12036022,02/18/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12047751,02/24/2016
HDMHUP,ENCOUNTER,1457105,02/23/2016
HDMHUP,ENCOUNTER,1455470,02/15/2016
HDMHUP,DIAGNOSIS AND PROCEDURES,12057015,02/28/2016
HDMHUP,PATIENT,1261277,02/24/2016
HDMHUP,ENCOUNTER,1453732,02/07/2016
