SOURCE,TARGET,SOURCEROWS,ANNUM
HDMPMC,ENCOUNTER,593412,02/29/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5225271,02/15/2016
HDMPMC,ENCOUNTER,592210,02/19/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5228793,02/17/2016
HDMPMC,ENCOUNTER,590861,02/09/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5225271,02/14/2016
HDMPMC,PATIENT,532932,02/08/2016
HDMPMC,ENCOUNTER,591748,02/16/2016
HDMPMC,PATIENT,535180,02/29/2016
HDMPMC,PATIENT,532736,02/05/2016
HDMPMC,ENCOUNTER,590104,02/03/2016
HDMPMC,PATIENT,532452,02/03/2016
HDMPMC,PATIENT,534666,02/24/2016
HDMPMC,ENCOUNTER,590552,02/07/2016
HDMPMC,ENCOUNTER,592823,02/24/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5241425,02/29/2016
HDMPMC,ENCOUNTER,591457,02/14/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5223953,02/12/2016
HDMPMC,PATIENT,533476,02/12/2016
HDMPMC,ENCOUNTER,592021,02/18/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5233708,02/20/2016
HDMPMC,PATIENT,534382,02/22/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5216737,02/06/2016
HDMPMC,ENCOUNTER,591914,02/17/2016
HDMPMC,ENCOUNTER,591177,02/11/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5226959,02/16/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5236562,02/24/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5222153,02/11/2016
HDMPMC,ENCOUNTER,589944,02/02/2016
HDMPMC,PATIENT,533908,02/18/2016
HDMPMC,ENCOUNTER,589770,02/01/2016
HDMPMC,PATIENT,534864,02/25/2016
HDMPMC,PATIENT,534992,02/26/2016
HDMPMC,PATIENT,535118,02/27/2016
HDMPMC,ENCOUNTER,591014,02/10/2016
HDMPMC,ENCOUNTER,592649,02/23/2016
HDMPMC,ENCOUNTER,593159,02/26/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5210596,02/02/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5241425,02/27/2016
HDMPMC,ENCOUNTER,593229,02/27/2016
HDMPMC,ENCOUNTER,591313,02/12/2016
HDMPMC,ENCOUNTER,591589,02/15/2016
HDMPMC,PATIENT,533908,02/17/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5233708,02/22/2016
HDMPMC,ENCOUNTER,593276,02/28/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5241425,02/28/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5216737,02/08/2016
HDMPMC,PATIENT,534494,02/23/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5208734,02/01/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5225271,02/13/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5238550,02/25/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5220417,02/10/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5212283,02/03/2016
HDMPMC,PATIENT,533194,02/10/2016
HDMPMC,ENCOUNTER,590504,02/06/2016
HDMPMC,PATIENT,535152,02/28/2016
HDMPMC,PATIENT,534294,02/20/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5218150,02/09/2016
HDMPMC,ENCOUNTER,592279,02/20/2016
HDMPMC,ENCOUNTER,590438,02/05/2016
HDMPMC,ENCOUNTER,590683,02/08/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5214070,02/04/2016
HDMPMC,PATIENT,533620,02/13/2016
HDMPMC,ENCOUNTER,593000,02/25/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5240380,02/26/2016
HDMPMC,PATIENT,532594,02/04/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5228793,02/18/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5215044,02/05/2016
HDMPMC,PATIENT,533664,02/14/2016
HDMPMC,PATIENT,532898,02/07/2016
HDMPMC,PATIENT,532312,02/02/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5216737,02/07/2016
HDMPMC,ENCOUNTER,590286,02/04/2016
HDMPMC,PATIENT,534170,02/19/2016
HDMPMC,ENCOUNTER,592459,02/22/2016
HDMPMC,PATIENT,533774,02/16/2016
HDMPMC,PATIENT,533692,02/15/2016
HDMPMC,DIAGNOSIS AND PROCEDURES,5235259,02/23/2016
HDMPMC,PATIENT,532232,02/01/2016
HDMPMC,PATIENT,532864,02/06/2016
HDMPMC,PATIENT,533054,02/09/2016
HDMPMC,ENCOUNTER,591405,02/13/2016
