SOURCE,TARGET,SOURCEROWS,ANNUM
PMCCH-DSS,ENCOUNTER,1486222,02/11/2016
PMCCH-DSS,ENCOUNTER,1490868,02/14/2016
PMCCH-DSS,PATIENT,1493176,02/16/2016
PMCCH-DSS,ENCOUNTER,1493022,02/17/2016
PMCCH-DSS,PATIENT,1493469,02/17/2016
PMCCH-DSS,PATIENT,1491872,02/10/2016
PMCCH-DSS,ENCOUNTER,1507997,02/28/2016
PMCCH-DSS,ENCOUNTER,1484784,02/10/2016
PMCCH-DSS,ENCOUNTER,1499919,02/23/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3732648,02/14/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3675723,02/02/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3785165,02/27/2016
PMCCH-DSS,ENCOUNTER,1494522,02/18/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3789767,02/28/2016
PMCCH-DSS,ENCOUNTER,1482471,02/07/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3704793,02/08/2016
PMCCH-DSS,ENCOUNTER,1497838,02/20/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3728046,02/13/2016
PMCCH-DSS,ENCOUNTER,1496187,02/19/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3712042,02/10/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3761227,02/22/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3756083,02/20/2016
PMCCH-DSS,PATIENT,1491633,02/09/2016
PMCCH-DSS,ENCOUNTER,1499671,02/22/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3699745,02/06/2016
PMCCH-DSS,PATIENT,1495910,02/27/2016
PMCCH-DSS,PATIENT,1490661,02/04/2016
PMCCH-DSS,PATIENT,1493076,02/15/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3768307,02/24/2016
PMCCH-DSS,PATIENT,1492412,02/12/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3717925,02/11/2016
PMCCH-DSS,PATIENT,1489934,02/01/2016
PMCCH-DSS,PATIENT,1491173,02/06/2016
PMCCH-DSS,PATIENT,1492964,02/14/2016
PMCCH-DSS,PATIENT,1496331,02/29/2016
PMCCH-DSS,PATIENT,1493980,02/19/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3790904,02/29/2016
PMCCH-DSS,PATIENT,1494743,02/23/2016
PMCCH-DSS,ENCOUNTER,1479381,02/05/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3745815,02/18/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3739830,02/17/2016
PMCCH-DSS,ENCOUNTER,1506552,02/27/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3704066,02/07/2016
PMCCH-DSS,ENCOUNTER,1480945,02/06/2016
PMCCH-DSS,ENCOUNTER,1501723,02/24/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3705553,02/09/2016
PMCCH-DSS,ENCOUNTER,1489421,02/13/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3780304,02/26/2016
PMCCH-DSS,ENCOUNTER,1508309,02/29/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3723221,02/12/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3694500,02/05/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3761516,02/23/2016
PMCCH-DSS,PATIENT,1491449,02/07/2016
PMCCH-DSS,ENCOUNTER,1491151,02/15/2016
PMCCH-DSS,PATIENT,1490063,02/02/2016
PMCCH-DSS,PATIENT,1490370,02/03/2016
PMCCH-DSS,PATIENT,1495062,02/24/2016
PMCCH-DSS,PATIENT,1494248,02/20/2016
PMCCH-DSS,PATIENT,1492712,02/13/2016
PMCCH-DSS,PATIENT,1495642,02/26/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3733511,02/16/2016
PMCCH-DSS,ENCOUNTER,1483013,02/09/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3775273,02/25/2016
PMCCH-DSS,ENCOUNTER,1473885,02/02/2016
PMCCH-DSS,ENCOUNTER,1475895,02/03/2016
PMCCH-DSS,ENCOUNTER,1473615,02/01/2016
PMCCH-DSS,ENCOUNTER,1503441,02/25/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3675371,02/01/2016
PMCCH-DSS,PATIENT,1494653,02/22/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3733096,02/15/2016
PMCCH-DSS,ENCOUNTER,1505033,02/26/2016
PMCCH-DSS,PATIENT,1491561,02/08/2016
PMCCH-DSS,ENCOUNTER,1482792,02/08/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3682900,02/03/2016
PMCCH-DSS,DIAGNOSIS AND PROCEDURES,3688808,02/04/2016
PMCCH-DSS,ENCOUNTER,1491432,02/16/2016
PMCCH-DSS,ENCOUNTER,1487812,02/12/2016
PMCCH-DSS,PATIENT,1490930,02/05/2016
PMCCH-DSS,PATIENT,1493718,02/18/2016
PMCCH-DSS,PATIENT,1495336,02/25/2016
PMCCH-DSS,ENCOUNTER,1477684,02/04/2016
PMCCH-DSS,PATIENT,1496210,02/28/2016
