SOURCE,TARGET,SOURCEROWS,ANNUM
SCM,DOCUMENTATION,143511206,02/16/2016
SCM,PATIENT,8165055,02/23/2016
SCM,PATIENT,8162677,02/22/2016
SCM,DIAGNOSIS AND PROCEDURES,11113132,02/06/2016
SCM,PATIENT,8131545,02/04/2016
SCM,ENCOUNTER,172667605,02/14/2016
SCM,DIAGNOSIS AND PROCEDURES,11145809,02/12/2016
SCM,DOCUMENTATION,143066781,02/11/2016
SCM,DIAGNOSIS AND PROCEDURES,11154331,02/14/2016
SCM,DIAGNOSIS AND PROCEDURES,11085090,02/02/2016
SCM,ORDER,893201750,02/10/2016
SCM,ENCOUNTER,174158278,02/27/2016
SCM,DIAGNOSIS AND PROCEDURES,11106101,02/05/2016
SCM,DIAGNOSIS AND PROCEDURES,11138849,02/11/2016
SCM,DOCUMENTATION,142293677,02/03/2016
SCM,PATIENT,8124768,02/01/2016
SCM,DOCUMENTATION,142671930,02/07/2016
SCM,PATIENT,8129247,02/03/2016
SCM,ENCOUNTER,171770667,02/06/2016
SCM,DIAGNOSIS AND PROCEDURES,11117462,02/08/2016
SCM,PATIENT,8161136,02/20/2016
SCM,PATIENT,8158914,02/19/2016
SCM,DOCUMENTATION,144602603,02/27/2016
SCM,ORDER,895477593,02/20/2016
SCM,ENCOUNTER,173359829,02/20/2016
SCM,ENCOUNTER,174352450,02/29/2016
SCM,DOCUMENTATION,143346903,02/14/2016
SCM,DIAGNOSIS AND PROCEDURES,11156124,02/15/2016
SCM,ENCOUNTER,171650864,02/05/2016
SCM,DIAGNOSIS AND PROCEDURES,11215985,02/25/2016
SCM,DOCUMENTATION,144494796,02/26/2016
SCM,DOCUMENTATION,142079046,02/01/2016
SCM,DOCUMENTATION,142953580,02/10/2016
SCM,ENCOUNTER,172762339,02/15/2016
SCM,ORDER,897217577,02/28/2016
SCM,DOCUMENTATION,144060192,02/22/2016
SCM,ORDER,892572789,02/07/2016
SCM,ORDER,897376378,02/29/2016
SCM,ORDER,893692119,02/12/2016
SCM,PATIENT,8148728,02/13/2016
SCM,ORDER,893933150,02/13/2016
SCM,DOCUMENTATION,144722975,02/29/2016
SCM,ORDER,896774601,02/26/2016
SCM,PATIENT,8137467,02/08/2016
SCM,ENCOUNTER,171962529,02/08/2016
SCM,DIAGNOSIS AND PROCEDURES,11092185,02/03/2016
SCM,ENCOUNTER,172878167,02/16/2016
SCM,PATIENT,8136031,02/06/2016
SCM,PATIENT,8175518,02/29/2016
SCM,DOCUMENTATION,142503284,02/05/2016
SCM,DIAGNOSIS AND PROCEDURES,11194613,02/22/2016
SCM,DIAGNOSIS AND PROCEDURES,11231460,02/28/2016
SCM,PATIENT,8166901,02/24/2016
SCM,ENCOUNTER,171867550,02/07/2016
SCM,DIAGNOSIS AND PROCEDURES,11190747,02/20/2016
SCM,ORDER,891419320,02/02/2016
SCM,DIAGNOSIS AND PROCEDURES,11077409,02/01/2016
SCM,PATIENT,8171844,02/26/2016
SCM,ENCOUNTER,172998325,02/17/2016
SCM,DIAGNOSIS AND PROCEDURES,11176937,02/18/2016
