SOURCE,TARGET,SOURCEROWS,ANNUM
THERADOC,INFECTION,662607,02/18/2016
THERADOC,CROSSREFERENCE,123145,02/09/2016
THERADOC,INFECTION,664846,02/29/2016
THERADOC,CROSSREFERENCE,123448,02/13/2016
THERADOC,PATIENT,6425488,02/15/2016
THERADOC,ORDER,68259,02/15/2016
THERADOC,INFECTION,660136,02/08/2016
THERADOC,INFECTION,661358,02/12/2016
THERADOC,PATIENT,6429662,02/17/2016
THERADOC,PATIENT,6431549,02/18/2016
THERADOC,INFECTION,664823,02/27/2016
THERADOC,INFECTION,660118,02/07/2016
THERADOC,PATIENT,6416007,02/09/2016
THERADOC,CROSSREFERENCE,123646,02/18/2016
THERADOC,ORDER,67215,02/08/2016
THERADOC,ORDER,68259,02/12/2016
THERADOC,INFECTION,662103,02/16/2016
THERADOC,ORDER,68259,02/16/2016
THERADOC,CROSSREFERENCE,123763,02/22/2016
THERADOC,CROSSREFERENCE,123034,02/06/2016
THERADOC,PATIENT,6427521,02/16/2016
THERADOC,ORDER,68259,02/26/2016
THERADOC,CROSSREFERENCE,123592,02/17/2016
THERADOC,PATIENT,6447343,02/27/2016
THERADOC,PATIENT,6410861,02/05/2016
THERADOC,ENCOUNTER,17862991,02/15/2016
THERADOC,CROSSREFERENCE,124102,02/29/2016
THERADOC,ENCOUNTER,17992018,02/28/2016
THERADOC,ENCOUNTER,17791933,02/07/2016
THERADOC,ENCOUNTER,17787546,02/06/2016
THERADOC,ENCOUNTER,17954543,02/24/2016
THERADOC,PATIENT,6438985,02/23/2016
THERADOC,ENCOUNTER,17887017,02/17/2016
THERADOC,CROSSREFERENCE,123194,02/10/2016
THERADOC,ORDER,68259,02/18/2016
THERADOC,CROSSREFERENCE,124094,02/27/2016
THERADOC,INFECTION,660523,02/09/2016
THERADOC,CROSSREFERENCE,123382,02/12/2016
THERADOC,PATIENT,6402654,02/01/2016
THERADOC,ENCOUNTER,17737754,02/02/2016
THERADOC,ENCOUNTER,17844077,02/12/2016
THERADOC,PATIENT,6448509,02/29/2016
THERADOC,INFECTION,659013,02/02/2016
THERADOC,ORDER,68259,02/28/2016
